
=== Sensor Logging Session Started at 2025-08-26 18:30:34.826 ===
2025-08-26 18:30:35.498 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 18:30:35.498 - Sensor: charging, Value: 1, Old Value: 0, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 18:30:59.655 ===

=== Sensor Logging Session Started at 2025-08-26 18:33:45.452 ===
2025-08-26 18:33:46.111 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 18:33:46.112 - Sensor: charging, Value: 1, Old Value: 0, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 18:33:54.321 ===

=== Sensor Logging Session Started at 2025-08-26 18:34:00.249 ===
2025-08-26 18:34:00.911 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 18:34:00.913 - Sensor: charging, Value: 1, Old Value: 0, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 18:34:10.093 ===

=== Sensor Logging Session Started at 2025-08-26 18:34:52.944 ===
2025-08-26 18:34:53.609 - Sensor: battery, Value: 95, Old Value: 0, Critical: No
2025-08-26 18:34:53.610 - Sensor: charging, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:34:53.716 - Sensor: battery, Value: 96, Old Value: 95, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 18:35:38.815 ===

=== Sensor Logging Session Started at 2025-08-26 18:38:05.514 ===
2025-08-26 18:38:06.180 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 18:38:06.181 - Sensor: charging, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:08.947 - Sensor: battery, Value: 98, Old Value: 96, Critical: No
2025-08-26 18:47:08.954 - Sensor: obs, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:09.391 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.444 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.495 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.501 - Sensor: obs, Value: 0, Old Value: 1, Critical: No
2025-08-26 18:47:09.503 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.559 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.623 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.677 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.714 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.769 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.821 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.826 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.877 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.928 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.939 - Sensor: obs, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:09.941 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:09.992 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.038 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.088 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.140 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.148 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.205 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.256 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.308 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.359 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.372 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.423 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:10.902 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:10.903 - Sensor: odo, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:10.954 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.005 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.007 - Sensor: odo, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:11.008 - Sensor: obs, Value: 0, Old Value: 1, Critical: No
2025-08-26 18:47:11.009 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.060 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.111 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.113 - Sensor: odo, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:11.114 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.165 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.218 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.221 - Sensor: odo, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:11.222 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.272 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.323 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.329 - Sensor: odo, Value: 1, Old Value: 0, Critical: No
2025-08-26 18:47:11.330 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.381 - Sensor: speed, Value: 3, Old Value: 1, Critical: Yes
2025-08-26 18:47:11.433 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.483 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.534 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.540 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.591 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.642 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.648 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.701 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.754 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.811 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.857 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.907 - Sensor: speed, Value: 2, Old Value: 3, Critical: Yes
2025-08-26 18:47:11.958 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:11.974 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.025 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.077 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.128 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.182 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.233 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.284 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.292 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.346 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.392 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.445 - Sensor: speed, Value: 0, Old Value: 2, Critical: Yes
2025-08-26 18:47:12.497 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.503 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.557 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.609 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.619 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.671 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.721 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.773 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.825 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.839 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.891 - Sensor: speed, Value: 1, Old Value: 0, Critical: Yes
2025-08-26 18:47:12.943 - Sensor: speed, Value: 2, Old Value: 1, Critical: Yes
2025-08-26 18:47:12.945 - Sensor: odo, Value: 2, Old Value: 1, Critical: No
