
=== Sensor Logging Session Started at 2025-08-26 17:42:01.035 ===
2025-08-26 17:42:01.706 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 17:42:01.707 - Sensor: charging, Value: 1, Old Value: 0, Critical: No
2025-08-26 17:42:02.120 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:42:02.225 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:42:02.327 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:42:02.430 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:42:02.535 - Sensor: odo, Value: 172, Old Value: 0, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 17:42:26.873 ===

=== Sensor Logging Session Started at 2025-08-26 17:48:36.182 ===
2025-08-26 17:48:36.843 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 17:48:36.844 - Sensor: charging, Value: 1, Old Value: 0, Critical: No
2025-08-26 17:48:36.844 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:48:36.951 - Sensor: odo, Value: 172, Old Value: 0, Critical: No

=== Sensor Logging Session Ended at 2025-08-26 17:48:48.971 ===

=== Sensor Logging Session Started at 2025-08-26 17:48:53.243 ===
2025-08-26 17:48:53.904 - Sensor: battery, Value: 96, Old Value: 0, Critical: No
2025-08-26 17:48:53.905 - Sensor: charging, Value: 1, Old Value: 0, Critical: No
2025-08-26 17:48:53.905 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:48:54.010 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:48:54.117 - Sensor: odo, Value: 172, Old Value: 0, Critical: No
2025-08-26 17:49:38.583 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.587 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.638 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.689 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.690 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.741 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.792 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.794 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.848 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.897 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:38.949 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:39.000 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:39.003 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:39.054 - Sensor: speed, Value: 2, Old Value: 0, Critical: Yes
2025-08-26 17:49:39.104 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.107 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.158 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.211 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.262 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.314 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.366 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.418 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.423 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.475 - Sensor: speed, Value: 4, Old Value: 2, Critical: Yes
2025-08-26 17:49:39.525 - Sensor: odo, Value: 173, Old Value: 172, Critical: No
2025-08-26 17:49:39.630 - Sensor: odo, Value: 173, Old Value: 172, Critical: No
2025-08-26 17:49:39.734 - Sensor: odo, Value: 173, Old Value: 172, Critical: No
2025-08-26 17:49:39.837 - Sensor: odo, Value: 173, Old Value: 172, Critical: No
2025-08-26 17:49:39.940 - Sensor: odo, Value: 173, Old Value: 172, Critical: No
2025-08-26 17:49:40.046 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.050 - Sensor: odo, Value: 174, Old Value: 173, Critical: No
2025-08-26 17:49:40.051 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.102 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.152 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.153 - Sensor: odo, Value: 174, Old Value: 173, Critical: No
2025-08-26 17:49:40.203 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.256 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.257 - Sensor: odo, Value: 174, Old Value: 173, Critical: No
2025-08-26 17:49:40.258 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.308 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.360 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.370 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.371 - Sensor: odo, Value: 174, Old Value: 173, Critical: No
2025-08-26 17:49:40.421 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.472 - Sensor: odo, Value: 174, Old Value: 173, Critical: No
2025-08-26 17:49:40.473 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.524 - Sensor: speed, Value: 5, Old Value: 4, Critical: Yes
2025-08-26 17:49:40.575 - Sensor: odo, Value: 175, Old Value: 174, Critical: No
2025-08-26 17:49:40.577 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.627 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.676 - Sensor: odo, Value: 175, Old Value: 174, Critical: No
2025-08-26 17:49:40.677 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.727 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.777 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.782 - Sensor: odo, Value: 175, Old Value: 174, Critical: No
2025-08-26 17:49:40.782 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.833 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.883 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.885 - Sensor: odo, Value: 175, Old Value: 174, Critical: No
2025-08-26 17:49:40.885 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.937 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:40.987 - Sensor: odo, Value: 175, Old Value: 174, Critical: No
2025-08-26 17:49:40.990 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:41.040 - Sensor: speed, Value: 8, Old Value: 5, Critical: Yes
2025-08-26 17:49:41.090 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.091 - Sensor: odo, Value: 176, Old Value: 175, Critical: No
2025-08-26 17:49:41.141 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.193 - Sensor: odo, Value: 176, Old Value: 175, Critical: No
2025-08-26 17:49:41.194 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.245 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.295 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.299 - Sensor: odo, Value: 176, Old Value: 175, Critical: No
2025-08-26 17:49:41.299 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.349 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.400 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.401 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.402 - Sensor: odo, Value: 176, Old Value: 175, Critical: No
2025-08-26 17:49:41.452 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.503 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.506 - Sensor: odo, Value: 176, Old Value: 175, Critical: No
2025-08-26 17:49:41.506 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.558 - Sensor: speed, Value: 9, Old Value: 8, Critical: Yes
2025-08-26 17:49:41.609 - Sensor: odo, Value: 177, Old Value: 176, Critical: No
2025-08-26 17:49:41.715 - Sensor: odo, Value: 177, Old Value: 176, Critical: No
2025-08-26 17:49:41.821 - Sensor: odo, Value: 177, Old Value: 176, Critical: No
2025-08-26 17:49:41.924 - Sensor: odo, Value: 177, Old Value: 176, Critical: No
2025-08-26 17:49:42.029 - Sensor: odo, Value: 177, Old Value: 176, Critical: No
2025-08-26 17:49:42.132 - Sensor: odo, Value: 178, Old Value: 177, Critical: No
2025-08-26 17:49:42.234 - Sensor: odo, Value: 178, Old Value: 177, Critical: No
2025-08-26 17:49:42.338 - Sensor: odo, Value: 178, Old Value: 177, Critical: No
2025-08-26 17:49:42.442 - Sensor: odo, Value: 178, Old Value: 177, Critical: No
2025-08-26 17:49:42.545 - Sensor: odo, Value: 180, Old Value: 178, Critical: No
2025-08-26 17:49:42.648 - Sensor: odo, Value: 180, Old Value: 178, Critical: No
2025-08-26 17:49:42.750 - Sensor: odo, Value: 180, Old Value: 178, Critical: No
2025-08-26 17:49:42.855 - Sensor: odo, Value: 180, Old Value: 178, Critical: No
2025-08-26 17:49:42.958 - Sensor: odo, Value: 180, Old Value: 178, Critical: No
2025-08-26 17:49:43.060 - Sensor: odo, Value: 181, Old Value: 180, Critical: No
2025-08-26 17:49:43.164 - Sensor: odo, Value: 181, Old Value: 180, Critical: No
2025-08-26 17:49:43.266 - Sensor: odo, Value: 181, Old Value: 180, Critical: No
2025-08-26 17:49:43.376 - Sensor: odo, Value: 181, Old Value: 180, Critical: No
2025-08-26 17:49:43.487 - Sensor: odo, Value: 181, Old Value: 180, Critical: No
2025-08-26 17:49:43.589 - Sensor: odo, Value: 182, Old Value: 181, Critical: No
2025-08-26 17:49:43.693 - Sensor: odo, Value: 182, Old Value: 181, Critical: No
2025-08-26 17:49:43.800 - Sensor: odo, Value: 182, Old Value: 181, Critical: No
2025-08-26 17:49:43.903 - Sensor: odo, Value: 182, Old Value: 181, Critical: No
2025-08-26 17:49:44.009 - Sensor: odo, Value: 182, Old Value: 181, Critical: No
2025-08-26 17:49:44.113 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.218 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.320 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.424 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.527 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.630 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.732 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.834 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:44.939 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:45.044 - Sensor: odo, Value: 184, Old Value: 182, Critical: No
2025-08-26 17:49:45.145 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.147 - Sensor: odo, Value: 186, Old Value: 184, Critical: No
2025-08-26 17:49:45.148 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.199 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.249 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.251 - Sensor: odo, Value: 186, Old Value: 184, Critical: No
2025-08-26 17:49:45.301 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.352 - Sensor: odo, Value: 186, Old Value: 184, Critical: No
2025-08-26 17:49:45.353 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.405 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.458 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.458 - Sensor: odo, Value: 186, Old Value: 184, Critical: No
2025-08-26 17:49:45.508 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.559 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.562 - Sensor: odo, Value: 186, Old Value: 184, Critical: No
2025-08-26 17:49:45.563 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.614 - Sensor: speed, Value: 5, Old Value: 9, Critical: Yes
2025-08-26 17:49:45.665 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.669 - Sensor: odo, Value: 187, Old Value: 186, Critical: No
2025-08-26 17:49:45.669 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.720 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.771 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.773 - Sensor: odo, Value: 187, Old Value: 186, Critical: No
2025-08-26 17:49:45.774 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.824 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.875 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.876 - Sensor: odo, Value: 187, Old Value: 186, Critical: No
2025-08-26 17:49:45.926 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.977 - Sensor: speed, Value: 9, Old Value: 5, Critical: Yes
2025-08-26 17:49:45.979 - Sensor: odo, Value: 187, Old Value: 186, Critical: No
